TOPIC	HIT_ID	WORKER_ID	DOC_ID	TRUTH	LABEL
20002	x0000	worker1	document1	-1	0
20002	x0000	worker1	document2	-1	0
20002	x0000	worker1	document3	-1	0
20002	x0000	worker1	document4	-1	0
20002	x0000	worker1	document5	1	1
20002	x0000	worker2	document1	-1	1
20002	x0000	worker2	document2	-1	1
20002	x0000	worker2	document3	-1	0
20002	x0000	worker2	document4	-1	0
20002	x0000	worker3	document1	-1	1
20002	x0000	worker3	document2	-1	1
20002	x0000	worker3	document3	-1	1
20002	x0000	worker3	document4	-1	1
20002	x0000	worker3	document5	1	0
20002	x0000	worker4	document1	-1	1
20002	x0000	worker4	document2	-1	1
20002	x0000	worker4	document3	-1	1
20002	x0000	worker4	document4	-1	1
20002	x0000	worker5	document1	-1	1
20002	x0000	worker5	document2	-1	1
20002	x0000	worker5	document3	-1	1
20002	x0000	worker5	document4	-1	1
20002	x0001	worker1	document10	1	1
20002	x0001	worker1	document6	-1	1
20002	x0001	worker1	document7	-1	0
20002	x0001	worker1	document8	-1	1
20002	x0001	worker1	document9	-1	1
20002	x0001	worker3	document6	-1	1
20002	x0001	worker3	document7	-1	0
20002	x0001	worker3	document8	-1	1
20002	x0001	worker3	document9	-1	1
20002	x0001	worker6	document6	-1	1
20002	x0001	worker6	document7	-1	0
20002	x0001	worker6	document8	-1	1
20002	x0001	worker6	document9	-1	1
20002	x0001	worker7	document6	-1	0
20002	x0001	worker7	document7	-1	0
20002	x0001	worker7	document8	-1	0
20002	x0001	worker7	document9	-1	0
20002	x0001	worker8	document10	1	1
20002	x0001	worker8	document6	-1	1
20002	x0001	worker8	document7	-1	1
20002	x0001	worker8	document8	-1	1
20002	x0001	worker8	document9	-1	1
20002	x0002	worker1	document11	-1	1
20002	x0002	worker1	document12	-1	0
20002	x0002	worker1	document13	1	1
20002	x0002	worker1	document14	-1	0
20002	x0002	worker1	document15	-1	0
20002	x0002	worker2	document11	-1	0
20002	x0002	worker2	document12	-1	0
20002	x0002	worker2	document13	1	0
20002	x0002	worker2	document14	-1	0
20002	x0002	worker2	document15	-1	1
20002	x0002	worker3	document11	-1	1
20002	x0002	worker3	document12	-1	0
20002	x0002	worker3	document13	1	0
20002	x0002	worker3	document14	-1	0
20002	x0002	worker3	document15	-1	1
20002	x0002	worker6	document11	-1	1
20002	x0002	worker6	document12	-1	0
20002	x0002	worker6	document13	1	0
20002	x0002	worker6	document14	-1	0
20002	x0002	worker6	document15	-1	1
20002	x0002	worker9	document11	-1	0
20002	x0002	worker9	document12	-1	0
20002	x0002	worker9	document13	1	0
20002	x0002	worker9	document14	-1	0
20002	x0002	worker9	document15	-1	0
20002	x0003	worker10	document16	-1	0
20002	x0003	worker10	document17	-1	0
20002	x0003	worker10	document18	-1	0
20002	x0003	worker10	document19	-1	1
20002	x0003	worker10	document20	-1	0
20002	x0003	worker11	document16	-1	1
20002	x0003	worker11	document17	-1	0
20002	x0003	worker11	document18	-1	0
20002	x0003	worker11	document19	-1	1
20002	x0003	worker11	document20	-1	0
20002	x0003	worker1	document16	-1	1
20002	x0003	worker1	document17	-1	1
20002	x0003	worker1	document18	-1	0
20002	x0003	worker1	document19	-1	1
20002	x0003	worker1	document20	-1	1
20002	x0003	worker3	document16	-1	1
20002	x0003	worker3	document17	-1	1
20002	x0003	worker3	document18	-1	0
20002	x0003	worker3	document19	-1	0
20002	x0003	worker3	document20	-1	0
20002	x0003	worker6	document16	-1	1
20002	x0003	worker6	document17	-1	1
20002	x0003	worker6	document18	-1	0
20002	x0003	worker6	document19	-1	0
20002	x0003	worker6	document20	-1	0
20002	x0004	worker12	document21	-1	0
20002	x0004	worker12	document22	-1	0
